Date,Confirmed,Deaths,Recovered
2020-01-22,,,
2020-01-23,98.0,1.0,2.0
2020-01-24,287.0,8.0,6.0
2020-01-25,493.0,16.0,3.0
2020-01-26,681.0,14.0,13.0
2020-01-27,809.0,26.0,9.0
2020-01-28,2651.0,49.0,46.0
2020-01-29,588.0,2.0,19.0
2020-01-30,2068.0,38.0,17.0
2020-01-31,1691.0,42.0,79.0
2020-02-01,2110.0,46.0,62.0
2020-02-02,4749.0,103.0,188.0
2020-02-03,3091.0,64.0,151.0
2020-02-04,4011.0,66.0,229.0
2020-02-05,3743.0,72.0,272.0
2020-02-06,3182.0,70.0,363.0
2020-02-07,3574.0,85.0,524.0
2020-02-08,2729.0,87.0,605.0
2020-02-09,3030.0,100.0,625.0
2020-02-10,2612.0,107.0,702.0
2020-02-11,2039.0,100.0,737.0
2020-02-12,419.0,5.0,467.0
2020-02-13,15146.0,253.0,1145.0
2020-02-14,6517.0,152.0,1763.0
2020-02-15,2145.0,143.0,1337.0
2020-02-16,2194.0,104.0,1470.0
2020-02-17,2034.0,98.0,1718.0
2020-02-18,1878.0,139.0,1769.0
2020-02-19,503.0,115.0,1769.0
2020-02-20,558.0,125.0,2056.0
2020-02-21,624.0,4.0,711.0
2020-02-22,1756.0,207.0,3996.0
2020-02-23,386.0,11.0,508.0
2020-02-24,603.0,160.0,1833.0
2020-02-25,845.0,79.0,2677.0
2020-02-26,982.0,62.0,2479.0
2020-02-27,1358.0,44.0,2893.0
2020-02-28,1366.0,58.0,3433.0
2020-02-29,1883.0,68.0,3071.0
2020-03-01,2352.0,55.0,2934.0
2020-03-02,1914.0,84.0,2886.0
2020-03-03,2514.0,74.0,2626.0
2020-03-04,2249.0,90.0,2942.0
2020-03-05,2694.0,93.0,2626.0
2020-03-06,3857.0,110.0,2069.0
2020-03-07,3918.0,95.0,2493.0
2020-03-08,3858.0,240.0,2336.0
2020-03-09,3701.0,185.0,1800.0
2020-03-10,5548.0,296.0,1917.0
2020-03-11,7273.0,353.0,2599.0
2020-03-12,2478.0,105.0,1321.0
2020-03-13,16850.0,684.0,1927.0
