,Country/Region,Date,Confirmed,Deaths,Recovered
0,China,2020-01-22,548,17,28
1,China,2020-01-23,643,18,30
2,China,2020-01-24,920,26,35
3,China,2020-01-25,1406,42,38
4,China,2020-01-26,2075,56,48
5,China,2020-01-27,2877,82,55
6,China,2020-01-28,5509,131,97
7,China,2020-01-29,6087,133,114
8,China,2020-01-30,8141,171,128
9,China,2020-01-31,9802,213,201
10,China,2020-02-01,11891,259,258
11,China,2020-02-02,16630,361,438
12,China,2020-02-03,19716,425,581
13,China,2020-02-04,23707,491,795
14,China,2020-02-05,27440,563,1041
15,China,2020-02-06,30587,633,1381
16,China,2020-02-07,34110,718,1859
17,China,2020-02-08,36814,805,2409
18,China,2020-02-09,39829,905,2990
19,China,2020-02-10,42354,1012,3630
20,China,2020-02-11,44386,1112,4318
21,China,2020-02-12,46267,1117,4722
22,China,2020-02-13,59895,1369,5799
23,China,2020-02-14,66358,1521,7447
24,China,2020-02-15,68413,1663,8673
25,China,2020-02-16,70513,1766,10054
26,China,2020-02-17,72434,1864,11660
27,China,2020-02-18,74211,2003,13339
28,China,2020-02-19,74619,2116,15023
29,China,2020-02-20,75077,2238,16963
30,China,2020-02-21,75550,2238,17486
31,China,2020-02-22,77001,2443,21331
32,China,2020-02-23,77022,2445,21733
33,China,2020-02-24,77241,2595,23460
34,China,2020-02-25,77754,2665,26034
35,China,2020-02-26,78166,2717,28386
36,China,2020-02-27,78600,2746,31166
37,China,2020-02-28,78928,2790,34499
38,China,2020-02-29,79356,2837,37405
39,China,2020-03-01,79932,2872,40169
40,China,2020-03-02,80136,2914,42833
41,China,2020-03-03,80261,2947,45390
42,China,2020-03-04,80386,2983,47927
43,China,2020-03-05,80537,3015,50202
44,China,2020-03-06,80690,3044,51828
45,China,2020-03-07,80770,3072,53409
46,China,2020-03-08,80823,3100,55245
47,China,2020-03-09,80860,3123,56642
48,China,2020-03-10,80887,3139,58011
49,China,2020-03-11,80921,3161,59469
50,China,2020-03-12,80932,3172,60720
51,China,2020-03-13,80945,3180,62007
52,China,2020-03-14,80977,3193,63467
53,China,2020-03-15,81003,3203,64818
54,China,2020-03-16,81033,3217,65708
55,China,2020-03-17,81058,3230,66595
56,China,2020-03-18,81102,3241,67548
57,China,2020-03-19,81156,3249,68327
58,China,2020-03-20,81250,3253,69055
59,China,2020-03-21,81305,3259,69645
60,China,2020-03-22,81435,3274,70146
61,China,2020-03-23,81498,3274,70598
62,China,2020-03-24,81591,3281,71060
63,China,2020-03-25,81661,3285,71553
64,China,2020-03-26,81782,3291,71959
65,China,2020-03-27,81897,3296,72495
66,China,2020-03-28,81999,3299,72874
67,China,2020-03-29,82122,3304,73356
68,China,2020-03-30,82198,3308,73693
69,China,2020-03-31,82279,3309,73973
70,China,2020-04-01,82361,3316,74172
71,China,2020-04-02,82432,3322,74330
72,China,2020-04-03,82511,3326,74520
73,China,2020-04-04,82543,3330,74698
74,China,2020-04-05,82602,3333,74932
75,China,2020-04-06,82665,3335,75028
76,China,2020-04-07,82718,3335,75110
77,China,2020-04-08,82809,3337,75254
78,China,2020-04-09,82883,3339,75362
79,China,2020-04-10,82941,3340,75461
80,China,2020-04-11,83014,3343,75543
81,China,2020-04-12,83134,3343,75613
82,China,2020-04-13,83213,3345,75696
83,China,2020-04-14,83306,3345,75833
84,China,2020-04-15,83356,3346,75926
85,China,2020-04-16,83403,3346,76011
86,China,2020-04-17,83760,4636,75138
87,China,2020-04-18,83787,4636,75199
88,China,2020-04-19,83805,4636,75265
89,China,2020-04-20,83817,4636,75311
90,China,2020-04-21,83853,4636,75362
91,China,2020-04-22,83868,4636,75416
92,China,2020-04-23,83884,4636,75531
93,China,2020-04-24,83899,4636,75609
94,China,2020-04-25,83909,4636,75671
95,China,2020-04-26,83912,4637,75718
96,China,2020-04-27,83918,4637,75772
97,China,2020-04-28,83940,4637,75816
98,China,2020-04-29,83944,4637,75855
99,China,2020-04-30,83956,4637,75902
100,China,2020-05-01,83959,4637,75921
101,China,2020-05-02,83959,4637,75935
102,China,2020-05-03,83964,4637,75977
103,China,2020-05-04,83966,4637,76019
104,China,2020-05-05,83968,4637,76057
105,China,2020-05-06,83970,4637,76081
106,China,2020-05-07,83975,4637,76103
107,China,2020-05-08,83976,4637,76119
108,China,2020-05-09,83990,4637,76173
109,China,2020-05-10,84010,4637,76199
110,China,2020-05-11,84011,4637,76210
111,China,2020-05-12,84018,4637,76225
112,China,2020-05-13,84024,4637,76246
113,China,2020-05-14,84029,4637,76256
114,China,2020-05-15,84038,4637,76273
115,China,2020-05-16,84044,4638,76283
116,China,2020-05-17,84054,4638,76296
117,China,2020-05-18,84063,4638,76300
118,China,2020-05-19,84063,4638,76300
119,China,2020-05-20,84063,4638,76300
120,China,2020-05-21,84063,4638,76300
121,China,2020-05-22,84081,4638,76316
122,China,2020-05-23,84084,4638,76319
123,China,2020-05-24,84095,4638,76326
124,China,2020-05-25,84102,4638,76331
125,China,2020-05-26,84103,4638,76336
126,China,2020-05-27,84106,4638,76343
127,China,2020-05-28,84106,4638,76347
128,China,2020-05-29,84123,4638,76356
129,China,2020-05-30,84128,4638,76360
130,China,2020-05-31,84146,4638,76363
131,China,2020-06-01,84154,4638,76369
132,China,2020-06-02,84161,4638,76370
133,China,2020-06-03,84160,4638,76372
134,China,2020-06-04,84171,4638,76382
135,China,2020-06-05,84177,4638,76386
136,China,2020-06-06,84186,4638,76389
