Country/Region,Province/State,Confirmed,Deaths,Recovered,Still Infected
Afghanistan,NA,7653,178,850,6625
Albania,NA,949,31,742,289
Algeria,NA,7377,561,3746,3070
Andorra,NA,761,51,628,504
Angola,NA,52,3,17,32
Antigua and Barbuda,NA,25,3,19,21
Argentina,NA,8809,393,2872,5544
Armenia,NA,5041,64,2164,2813
Australia,Australian Capital Territory,107,3,104,76
Australia,New South Wales,3081,47,2631,2868
Australia,Northern Territory,29,0,27,26
Australia,Queensland,1058,6,1040,895
Australia,South Australia,439,4,435,361
Australia,Tasmania,228,13,195,122
Australia,Victoria,1573,18,1454,626
Australia,Western Australia,557,9,545,358
Austria,NA,16321,632,14678,9334
Azerbaijan,NA,3518,41,2198,1292
Bahamas,NA,96,11,43,55
Bahrain,NA,7532,12,2952,4568
Bangladesh,NA,25121,370,4993,19758
Barbados,NA,90,7,68,56
Belarus,NA,31508,175,10620,20713
Belgium,NA,55791,9108,14687,31996
Belize,NA,18,2,16,16
Benin,NA,339,2,83,255
Bhutan,NA,21,0,5,16
Bolivia,NA,4481,189,533,3759
Bosnia and Herzegovina,NA,2321,134,1522,1012
Botswana,NA,25,1,17,22
Brazil,NA,271885,17983,106794,147108
Brunei,NA,141,1,136,109
Bulgaria,NA,2259,112,646,1513
Burkina Faso,NA,796,51,652,321
Burma,NA,193,6,104,131
Burundi,NA,42,1,20,21
Cabo Verde,NA,335,3,85,257
Cambodia,NA,122,0,122,88
Cameroon,NA,3529,140,1567,1822
Canada,Alberta,6716,128,0,6588
Canada,British Columbia,2446,146,0,2301
Canada,Diamond Princess,1,1,0,0
Canada,Grand Princess,13,0,0,13
Canada,Manitoba,290,7,0,283
Canada,New Brunswick,120,0,0,120
Canada,Newfoundland and Labrador,261,3,0,258
Canada,Northwest Territories,5,0,0,5
Canada,Nova Scotia,1044,56,0,988
Canada,Ontario,24755,2032,0,22723
Canada,Prince Edward Island,27,1,0,27
Canada,Quebec,44206,3648,0,40558
Canada,Saskatchewan,599,7,0,592
Canada,Yukon,11,0,0,11
Central African Republic,NA,366,0,18,348
Chad,NA,545,56,139,350
Chile,NA,49579,509,21507,27563
China,Anhui,991,6,985,758
China,Beijing,593,9,578,294
China,Chongqing,579,6,573,423
China,Fujian,356,1,355,222
China,Gansu,139,2,137,66
China,Guangdong,1590,8,1579,991
China,Guangxi,254,2,252,189
China,Guizhou,147,2,145,114
China,Hainan,169,6,168,126
China,Hebei,328,6,322,195
China,Heilongjiang,945,13,932,430
China,Henan,1276,22,1254,881
China,Hong Kong,1055,4,1025,715
China,Hubei,68135,4512,64435,50633
China,Hunan,1019,4,1015,670
China,Inner Mongolia,216,1,196,106
China,Jiangsu,653,0,653,436
China,Jiangxi,937,1,936,712
China,Jilin,151,2,123,66
China,Liaoning,149,2,144,97
China,Macau,45,0,44,35
China,Ningxia,75,0,75,43
China,Qinghai,18,0,18,15
China,Shaanxi,308,3,303,187
China,Shandong,788,7,780,464
China,Shanghai,666,7,641,253
China,Shanxi,198,0,198,94
China,Sichuan,561,3,558,350
China,Tianjin,192,3,187,99
China,Tibet,1,0,1,1
China,Xinjiang,76,3,73,63
China,Yunnan,185,2,183,133
China,Zhejiang,1268,1,1267,883
Colombia,NA,16935,613,4050,12272
Comoros,NA,11,1,3,10
Congo (Brazzaville),NA,420,15,132,289
Congo (Kinshasa),NA,1629,61,290,1278
Costa Rica,NA,882,10,577,564
Cote d'Ivoire,NA,2153,28,1050,1078
Croatia,NA,2232,96,1967,1258
Cuba,NA,1887,79,1538,849
Cyprus,NA,918,17,515,692
Czechia,NA,8647,302,5726,5397
Denmark,Faroe Islands,187,0,187,118
Denmark,Greenland,11,0,11,8
Denmark,NA,11044,551,9416,3799
Diamond Princess,NA,712,13,651,691
Djibouti,NA,1618,7,1033,831
Dominica,NA,16,0,16,14
Dominican Republic,NA,13223,441,6613,7956
Ecuador,NA,34151,2839,3457,27855
Egypt,NA,13484,659,3742,9083
El Salvador,NA,1498,30,502,966
Equatorial Guinea,NA,825,7,22,796
Eritrea,NA,39,0,39,36
Estonia,NA,1791,64,938,1395
Eswatini,NA,208,2,87,154
Ethiopia,NA,365,5,120,240
Fiji,NA,18,0,15,17
Finland,NA,6399,301,5000,2865
France,French Guiana,218,1,136,81
France,French Polynesia,60,0,60,55
France,Guadeloupe,155,13,109,103
France,Martinique,192,14,91,115
France,Mayotte,1370,18,627,725
France,NA,178428,28193,61246,97979
France,New Caledonia,18,0,18,17
France,Reunion,446,0,354,351
France,Saint Barthelemy,6,0,6,5
France,Saint Pierre and Miquelon,1,0,1,1
France,St Martin,39,3,30,23
Gabon,NA,1502,12,318,1172
Gambia,NA,24,1,13,12
Georgia,NA,707,12,456,367
Germany,NA,177778,8081,155681,72864
Ghana,NA,6096,31,1773,4870
Greece,NA,2840,165,1374,1860
Grenada,NA,22,0,14,14
Guatemala,NA,2133,43,155,1935
Guinea,NA,2863,18,1525,1563
Guinea-Bissau,NA,1038,6,42,990
Guyana,NA,125,10,46,70
Haiti,NA,533,21,29,491
Holy See,NA,12,0,2,10
Honduras,NA,2955,147,349,2459
Hungary,NA,3556,467,1412,2054
Iceland,NA,1802,10,1789,1096
India,NA,106475,3302,42309,60864
Indonesia,NA,18496,1221,4467,12808
Iran,NA,124603,7119,97173,34887
Iraq,NA,3611,131,2366,1117
Ireland,NA,24251,1561,19470,14888
Israel,NA,16659,278,13435,9808
Italy,NA,226699,32169,129401,108257
Jamaica,NA,520,9,145,424
Japan,NA,16367,768,11564,11869
Jordan,NA,649,9,417,249
Kazakhstan,NA,6751,35,3598,3247
Kenya,NA,963,50,358,555
Kosovo,NA,989,29,769,576
Kuwait,NA,16764,121,4681,11962
Kyrgyzstan,NA,1243,14,898,416
Laos,NA,19,0,14,19
Latvia,NA,1012,21,694,646
Lebanon,NA,954,26,251,677
Lesotho,NA,1,0,0,1
Liberia,NA,233,23,125,106
Libya,NA,68,3,35,43
Liechtenstein,NA,82,1,55,76
Lithuania,NA,1562,60,1025,1047
Luxembourg,NA,3958,109,3718,2870
MS Zaandam,NA,9,2,0,7
Madagascar,NA,326,2,119,205
Malawi,NA,70,3,27,40
