,Country/Region,Date,Confirmed,Deaths,Recovered
0,Afghanistan,2020-01-22,,,
1,Afghanistan,2020-01-23,0.0,0.0,0.0
2,Afghanistan,2020-01-24,0.0,0.0,0.0
3,Afghanistan,2020-01-25,0.0,0.0,0.0
4,Afghanistan,2020-01-26,0.0,0.0,0.0
5,Afghanistan,2020-01-27,0.0,0.0,0.0
6,Afghanistan,2020-01-28,0.0,0.0,0.0
7,Afghanistan,2020-01-29,0.0,0.0,0.0
8,Afghanistan,2020-01-30,0.0,0.0,0.0
9,Afghanistan,2020-01-31,0.0,0.0,0.0
10,Afghanistan,2020-02-01,0.0,0.0,0.0
11,Afghanistan,2020-02-02,0.0,0.0,0.0
12,Afghanistan,2020-02-03,0.0,0.0,0.0
13,Afghanistan,2020-02-04,0.0,0.0,0.0
14,Afghanistan,2020-02-05,0.0,0.0,0.0
15,Afghanistan,2020-02-06,0.0,0.0,0.0
16,Afghanistan,2020-02-07,0.0,0.0,0.0
17,Afghanistan,2020-02-08,0.0,0.0,0.0
18,Afghanistan,2020-02-09,0.0,0.0,0.0
19,Afghanistan,2020-02-10,0.0,0.0,0.0
20,Afghanistan,2020-02-11,0.0,0.0,0.0
21,Afghanistan,2020-02-12,0.0,0.0,0.0
22,Afghanistan,2020-02-13,0.0,0.0,0.0
23,Afghanistan,2020-02-14,0.0,0.0,0.0
24,Afghanistan,2020-02-15,0.0,0.0,0.0
25,Afghanistan,2020-02-16,0.0,0.0,0.0
26,Afghanistan,2020-02-17,0.0,0.0,0.0
27,Afghanistan,2020-02-18,0.0,0.0,0.0
28,Afghanistan,2020-02-19,0.0,0.0,0.0
29,Afghanistan,2020-02-20,0.0,0.0,0.0
30,Afghanistan,2020-02-21,0.0,0.0,0.0
31,Afghanistan,2020-02-22,0.0,0.0,0.0
32,Afghanistan,2020-02-23,0.0,0.0,0.0
33,Afghanistan,2020-02-24,1.0,0.0,0.0
34,Afghanistan,2020-02-25,0.0,0.0,0.0
35,Afghanistan,2020-02-26,0.0,0.0,0.0
36,Afghanistan,2020-02-27,0.0,0.0,0.0
37,Afghanistan,2020-02-28,0.0,0.0,0.0
38,Afghanistan,2020-02-29,0.0,0.0,0.0
39,Afghanistan,2020-03-01,0.0,0.0,0.0
40,Afghanistan,2020-03-02,0.0,0.0,0.0
41,Afghanistan,2020-03-03,0.0,0.0,0.0
42,Afghanistan,2020-03-04,0.0,0.0,0.0
43,Afghanistan,2020-03-05,0.0,0.0,0.0
44,Afghanistan,2020-03-06,0.0,0.0,0.0
45,Afghanistan,2020-03-07,0.0,0.0,0.0
46,Afghanistan,2020-03-08,3.0,0.0,0.0
47,Algeria,2020-01-22,,,
48,Algeria,2020-01-23,0.0,0.0,0.0
49,Algeria,2020-01-24,0.0,0.0,0.0
50,Algeria,2020-01-25,0.0,0.0,0.0
51,Algeria,2020-01-26,0.0,0.0,0.0
52,Algeria,2020-01-27,0.0,0.0,0.0
53,Algeria,2020-01-28,0.0,0.0,0.0
54,Algeria,2020-01-29,0.0,0.0,0.0
55,Algeria,2020-01-30,0.0,0.0,0.0
56,Algeria,2020-01-31,0.0,0.0,0.0
57,Algeria,2020-02-01,0.0,0.0,0.0
58,Algeria,2020-02-02,0.0,0.0,0.0
59,Algeria,2020-02-03,0.0,0.0,0.0
60,Algeria,2020-02-04,0.0,0.0,0.0
61,Algeria,2020-02-05,0.0,0.0,0.0
62,Algeria,2020-02-06,0.0,0.0,0.0
63,Algeria,2020-02-07,0.0,0.0,0.0
64,Algeria,2020-02-08,0.0,0.0,0.0
65,Algeria,2020-02-09,0.0,0.0,0.0
66,Algeria,2020-02-10,0.0,0.0,0.0
67,Algeria,2020-02-11,0.0,0.0,0.0
68,Algeria,2020-02-12,0.0,0.0,0.0
69,Algeria,2020-02-13,0.0,0.0,0.0
70,Algeria,2020-02-14,0.0,0.0,0.0
71,Algeria,2020-02-15,0.0,0.0,0.0
72,Algeria,2020-02-16,0.0,0.0,0.0
73,Algeria,2020-02-17,0.0,0.0,0.0
74,Algeria,2020-02-18,0.0,0.0,0.0
75,Algeria,2020-02-19,0.0,0.0,0.0
76,Algeria,2020-02-20,0.0,0.0,0.0
77,Algeria,2020-02-21,0.0,0.0,0.0
78,Algeria,2020-02-22,0.0,0.0,0.0
79,Algeria,2020-02-23,0.0,0.0,0.0
80,Algeria,2020-02-24,0.0,0.0,0.0
81,Algeria,2020-02-25,1.0,0.0,0.0
82,Algeria,2020-02-26,0.0,0.0,0.0
83,Algeria,2020-02-27,0.0,0.0,0.0
84,Algeria,2020-02-28,0.0,0.0,0.0
85,Algeria,2020-02-29,0.0,0.0,0.0
86,Algeria,2020-03-01,0.0,0.0,0.0
87,Algeria,2020-03-02,2.0,0.0,0.0
88,Algeria,2020-03-03,2.0,0.0,0.0
89,Algeria,2020-03-04,7.0,0.0,0.0
90,Algeria,2020-03-05,0.0,0.0,0.0
91,Algeria,2020-03-06,5.0,0.0,0.0
92,Algeria,2020-03-07,0.0,0.0,0.0
93,Algeria,2020-03-08,2.0,0.0,0.0
94,Andorra,2020-01-22,,,
95,Andorra,2020-01-23,0.0,0.0,0.0
96,Andorra,2020-01-24,0.0,0.0,0.0
97,Andorra,2020-01-25,0.0,0.0,0.0
98,Andorra,2020-01-26,0.0,0.0,0.0
99,Andorra,2020-01-27,0.0,0.0,0.0
100,Andorra,2020-01-28,0.0,0.0,0.0
101,Andorra,2020-01-29,0.0,0.0,0.0
102,Andorra,2020-01-30,0.0,0.0,0.0
103,Andorra,2020-01-31,0.0,0.0,0.0
104,Andorra,2020-02-01,0.0,0.0,0.0
105,Andorra,2020-02-02,0.0,0.0,0.0
106,Andorra,2020-02-03,0.0,0.0,0.0
107,Andorra,2020-02-04,0.0,0.0,0.0
108,Andorra,2020-02-05,0.0,0.0,0.0
109,Andorra,2020-02-06,0.0,0.0,0.0
110,Andorra,2020-02-07,0.0,0.0,0.0
111,Andorra,2020-02-08,0.0,0.0,0.0
112,Andorra,2020-02-09,0.0,0.0,0.0
113,Andorra,2020-02-10,0.0,0.0,0.0
114,Andorra,2020-02-11,0.0,0.0,0.0
115,Andorra,2020-02-12,0.0,0.0,0.0
116,Andorra,2020-02-13,0.0,0.0,0.0
117,Andorra,2020-02-14,0.0,0.0,0.0
118,Andorra,2020-02-15,0.0,0.0,0.0
119,Andorra,2020-02-16,0.0,0.0,0.0
120,Andorra,2020-02-17,0.0,0.0,0.0
121,Andorra,2020-02-18,0.0,0.0,0.0
122,Andorra,2020-02-19,0.0,0.0,0.0
123,Andorra,2020-02-20,0.0,0.0,0.0
124,Andorra,2020-02-21,0.0,0.0,0.0
125,Andorra,2020-02-22,0.0,0.0,0.0
126,Andorra,2020-02-23,0.0,0.0,0.0
127,Andorra,2020-02-24,0.0,0.0,0.0
128,Andorra,2020-02-25,0.0,0.0,0.0
129,Andorra,2020-02-26,0.0,0.0,0.0
130,Andorra,2020-02-27,0.0,0.0,0.0
131,Andorra,2020-02-28,0.0,0.0,0.0
132,Andorra,2020-02-29,0.0,0.0,0.0
133,Andorra,2020-03-01,0.0,0.0,0.0
134,Andorra,2020-03-02,1.0,0.0,0.0
135,Andorra,2020-03-03,0.0,0.0,0.0
136,Andorra,2020-03-04,0.0,0.0,0.0
137,Andorra,2020-03-05,0.0,0.0,0.0
138,Andorra,2020-03-06,0.0,0.0,0.0
139,Andorra,2020-03-07,0.0,0.0,0.0
140,Andorra,2020-03-08,0.0,0.0,0.0
141,Argentina,2020-01-22,,,
142,Argentina,2020-01-23,0.0,0.0,0.0
143,Argentina,2020-01-24,0.0,0.0,0.0
144,Argentina,2020-01-25,0.0,0.0,0.0
145,Argentina,2020-01-26,0.0,0.0,0.0
146,Argentina,2020-01-27,0.0,0.0,0.0
147,Argentina,2020-01-28,0.0,0.0,0.0
148,Argentina,2020-01-29,0.0,0.0,0.0
149,Argentina,2020-01-30,0.0,0.0,0.0
150,Argentina,2020-01-31,0.0,0.0,0.0
151,Argentina,2020-02-01,0.0,0.0,0.0
152,Argentina,2020-02-02,0.0,0.0,0.0
153,Argentina,2020-02-03,0.0,0.0,0.0
154,Argentina,2020-02-04,0.0,0.0,0.0
155,Argentina,2020-02-05,0.0,0.0,0.0
156,Argentina,2020-02-06,0.0,0.0,0.0
157,Argentina,2020-02-07,0.0,0.0,0.0
158,Argentina,2020-02-08,0.0,0.0,0.0
159,Argentina,2020-02-09,0.0,0.0,0.0
160,Argentina,2020-02-10,0.0,0.0,0.0
161,Argentina,2020-02-11,0.0,0.0,0.0
162,Argentina,2020-02-12,0.0,0.0,0.0
163,Argentina,2020-02-13,0.0,0.0,0.0
164,Argentina,2020-02-14,0.0,0.0,0.0
165,Argentina,2020-02-15,0.0,0.0,0.0
166,Argentina,2020-02-16,0.0,0.0,0.0
167,Argentina,2020-02-17,0.0,0.0,0.0
168,Argentina,2020-02-18,0.0,0.0,0.0
169,Argentina,2020-02-19,0.0,0.0,0.0
170,Argentina,2020-02-20,0.0,0.0,0.0
171,Argentina,2020-02-21,0.0,0.0,0.0
172,Argentina,2020-02-22,0.0,0.0,0.0
173,Argentina,2020-02-23,0.0,0.0,0.0
174,Argentina,2020-02-24,0.0,0.0,0.0
175,Argentina,2020-02-25,0.0,0.0,0.0
176,Argentina,2020-02-26,0.0,0.0,0.0
177,Argentina,2020-02-27,0.0,0.0,0.0
178,Argentina,2020-02-28,0.0,0.0,0.0
179,Argentina,2020-02-29,0.0,0.0,0.0
180,Argentina,2020-03-01,0.0,0.0,0.0
181,Argentina,2020-03-02,0.0,0.0,0.0
182,Argentina,2020-03-03,1.0,0.0,0.0
183,Argentina,2020-03-04,0.0,0.0,0.0
184,Argentina,2020-03-05,0.0,0.0,0.0
185,Argentina,2020-03-06,1.0,0.0,0.0
186,Argentina,2020-03-07,6.0,0.0,0.0
187,Argentina,2020-03-08,4.0,1.0,0.0
188,Armenia,2020-01-22,,,
189,Armenia,2020-01-23,0.0,0.0,0.0
190,Armenia,2020-01-24,0.0,0.0,0.0
191,Armenia,2020-01-25,0.0,0.0,0.0
192,Armenia,2020-01-26,0.0,0.0,0.0
193,Armenia,2020-01-27,0.0,0.0,0.0
194,Armenia,2020-01-28,0.0,0.0,0.0
195,Armenia,2020-01-29,0.0,0.0,0.0
196,Armenia,2020-01-30,0.0,0.0,0.0
197,Armenia,2020-01-31,0.0,0.0,0.0
198,Armenia,2020-02-01,0.0,0.0,0.0
199,Armenia,2020-02-02,0.0,0.0,0.0
200,Armenia,2020-02-03,0.0,0.0,0.0
201,Armenia,2020-02-04,0.0,0.0,0.0
202,Armenia,2020-02-05,0.0,0.0,0.0
203,Armenia,2020-02-06,0.0,0.0,0.0
204,Armenia,2020-02-07,0.0,0.0,0.0
205,Armenia,2020-02-08,0.0,0.0,0.0
206,Armenia,2020-02-09,0.0,0.0,0.0
207,Armenia,2020-02-10,0.0,0.0,0.0
208,Armenia,2020-02-11,0.0,0.0,0.0
209,Armenia,2020-02-12,0.0,0.0,0.0
210,Armenia,2020-02-13,0.0,0.0,0.0
211,Armenia,2020-02-14,0.0,0.0,0.0
212,Armenia,2020-02-15,0.0,0.0,0.0
213,Armenia,2020-02-16,0.0,0.0,0.0
214,Armenia,2020-02-17,0.0,0.0,0.0
215,Armenia,2020-02-18,0.0,0.0,0.0
216,Armenia,2020-02-19,0.0,0.0,0.0
217,Armenia,2020-02-20,0.0,0.0,0.0
218,Armenia,2020-02-21,0.0,0.0,0.0
219,Armenia,2020-02-22,0.0,0.0,0.0
220,Armenia,2020-02-23,0.0,0.0,0.0
221,Armenia,2020-02-24,0.0,0.0,0.0
222,Armenia,2020-02-25,0.0,0.0,0.0
223,Armenia,2020-02-26,0.0,0.0,0.0
224,Armenia,2020-02-27,0.0,0.0,0.0
225,Armenia,2020-02-28,0.0,0.0,0.0
226,Armenia,2020-02-29,0.0,0.0,0.0
227,Armenia,2020-03-01,1.0,0.0,0.0
228,Armenia,2020-03-02,0.0,0.0,0.0
229,Armenia,2020-03-03,0.0,0.0,0.0
230,Armenia,2020-03-04,0.0,0.0,0.0
231,Armenia,2020-03-05,0.0,0.0,0.0
232,Armenia,2020-03-06,0.0,0.0,0.0
233,Armenia,2020-03-07,0.0,0.0,0.0
234,Armenia,2020-03-08,0.0,0.0,0.0
235,Australia,2020-01-22,,,
236,Australia,2020-01-23,0.0,0.0,0.0
237,Australia,2020-01-24,0.0,0.0,0.0
238,Australia,2020-01-25,0.0,0.0,0.0
239,Australia,2020-01-26,4.0,0.0,0.0
240,Australia,2020-01-27,1.0,0.0,0.0
241,Australia,2020-01-28,0.0,0.0,0.0
242,Australia,2020-01-29,1.0,0.0,0.0
243,Australia,2020-01-30,3.0,0.0,2.0
244,Australia,2020-01-31,0.0,0.0,0.0
245,Australia,2020-02-01,3.0,0.0,0.0
246,Australia,2020-02-02,0.0,0.0,0.0
247,Australia,2020-02-03,0.0,0.0,0.0
248,Australia,2020-02-04,1.0,0.0,0.0
249,Australia,2020-02-05,0.0,0.0,0.0
250,Australia,2020-02-06,1.0,0.0,0.0
251,Australia,2020-02-07,1.0,0.0,0.0
252,Australia,2020-02-08,0.0,0.0,0.0
253,Australia,2020-02-09,0.0,0.0,0.0
254,Australia,2020-02-10,0.0,0.0,0.0
255,Australia,2020-02-11,0.0,0.0,0.0
256,Australia,2020-02-12,0.0,0.0,0.0
257,Australia,2020-02-13,0.0,0.0,6.0
258,Australia,2020-02-14,0.0,0.0,0.0
259,Australia,2020-02-15,0.0,0.0,0.0
260,Australia,2020-02-16,0.0,0.0,0.0
261,Australia,2020-02-17,0.0,0.0,2.0
262,Australia,2020-02-18,0.0,0.0,0.0
263,Australia,2020-02-19,0.0,0.0,0.0
264,Australia,2020-02-20,0.0,0.0,0.0
265,Australia,2020-02-21,4.0,0.0,1.0
266,Australia,2020-02-22,3.0,0.0,0.0
267,Australia,2020-02-23,0.0,0.0,0.0
268,Australia,2020-02-24,0.0,0.0,0.0
269,Australia,2020-02-25,0.0,0.0,0.0
270,Australia,2020-02-26,0.0,0.0,0.0
271,Australia,2020-02-27,1.0,0.0,0.0
272,Australia,2020-02-28,0.0,0.0,0.0
273,Australia,2020-02-29,2.0,0.0,0.0
274,Australia,2020-03-01,2.0,1.0,0.0
275,Australia,2020-03-02,3.0,0.0,0.0
276,Australia,2020-03-03,9.0,0.0,0.0
277,Australia,2020-03-04,13.0,1.0,0.0
278,Australia,2020-03-05,3.0,0.0,10.0
279,Australia,2020-03-06,5.0,0.0,0.0
280,Australia,2020-03-07,3.0,0.0,0.0
281,Australia,2020-03-08,13.0,2.0,0.0
282,Austria,2020-01-22,,,
283,Austria,2020-01-23,0.0,0.0,0.0
284,Austria,2020-01-24,0.0,0.0,0.0
285,Austria,2020-01-25,0.0,0.0,0.0
286,Austria,2020-01-26,0.0,0.0,0.0
287,Austria,2020-01-27,0.0,0.0,0.0
288,Austria,2020-01-28,0.0,0.0,0.0
289,Austria,2020-01-29,0.0,0.0,0.0
290,Austria,2020-01-30,0.0,0.0,0.0
291,Austria,2020-01-31,0.0,0.0,0.0
292,Austria,2020-02-01,0.0,0.0,0.0
293,Austria,2020-02-02,0.0,0.0,0.0
294,Austria,2020-02-03,0.0,0.0,0.0
295,Austria,2020-02-04,0.0,0.0,0.0
296,Austria,2020-02-05,0.0,0.0,0.0
297,Austria,2020-02-06,0.0,0.0,0.0
298,Austria,2020-02-07,0.0,0.0,0.0
299,Austria,2020-02-08,0.0,0.0,0.0
300,Austria,2020-02-09,0.0,0.0,0.0
301,Austria,2020-02-10,0.0,0.0,0.0
302,Austria,2020-02-11,0.0,0.0,0.0
303,Austria,2020-02-12,0.0,0.0,0.0
304,Austria,2020-02-13,0.0,0.0,0.0
305,Austria,2020-02-14,0.0,0.0,0.0
306,Austria,2020-02-15,0.0,0.0,0.0
307,Austria,2020-02-16,0.0,0.0,0.0
308,Austria,2020-02-17,0.0,0.0,0.0
309,Austria,2020-02-18,0.0,0.0,0.0
310,Austria,2020-02-19,0.0,0.0,0.0
311,Austria,2020-02-20,0.0,0.0,0.0
312,Austria,2020-02-21,0.0,0.0,0.0
313,Austria,2020-02-22,0.0,0.0,0.0
314,Austria,2020-02-23,0.0,0.0,0.0
315,Austria,2020-02-24,0.0,0.0,0.0
316,Austria,2020-02-25,2.0,0.0,0.0
317,Austria,2020-02-26,0.0,0.0,0.0
318,Austria,2020-02-27,1.0,0.0,0.0
319,Austria,2020-02-28,0.0,0.0,0.0
320,Austria,2020-02-29,6.0,0.0,0.0
321,Austria,2020-03-01,5.0,0.0,0.0
322,Austria,2020-03-02,4.0,0.0,0.0
323,Austria,2020-03-03,3.0,0.0,0.0
324,Austria,2020-03-04,8.0,0.0,0.0
325,Austria,2020-03-05,12.0,0.0,0.0
326,Austria,2020-03-06,14.0,0.0,0.0
327,Austria,2020-03-07,24.0,0.0,0.0
328,Austria,2020-03-08,25.0,0.0,0.0
329,Azerbaijan,2020-01-22,,,
330,Azerbaijan,2020-01-23,0.0,0.0,0.0
331,Azerbaijan,2020-01-24,0.0,0.0,0.0
332,Azerbaijan,2020-01-25,0.0,0.0,0.0
333,Azerbaijan,2020-01-26,0.0,0.0,0.0
334,Azerbaijan,2020-01-27,0.0,0.0,0.0
335,Azerbaijan,2020-01-28,0.0,0.0,0.0
336,Azerbaijan,2020-01-29,0.0,0.0,0.0
337,Azerbaijan,2020-01-30,0.0,0.0,0.0
338,Azerbaijan,2020-01-31,0.0,0.0,0.0
339,Azerbaijan,2020-02-01,0.0,0.0,0.0
340,Azerbaijan,2020-02-02,0.0,0.0,0.0
341,Azerbaijan,2020-02-03,0.0,0.0,0.0
342,Azerbaijan,2020-02-04,0.0,0.0,0.0
343,Azerbaijan,2020-02-05,0.0,0.0,0.0
344,Azerbaijan,2020-02-06,0.0,0.0,0.0
345,Azerbaijan,2020-02-07,0.0,0.0,0.0
346,Azerbaijan,2020-02-08,0.0,0.0,0.0
347,Azerbaijan,2020-02-09,0.0,0.0,0.0
348,Azerbaijan,2020-02-10,0.0,0.0,0.0
349,Azerbaijan,2020-02-11,0.0,0.0,0.0
350,Azerbaijan,2020-02-12,0.0,0.0,0.0
351,Azerbaijan,2020-02-13,0.0,0.0,0.0
352,Azerbaijan,2020-02-14,0.0,0.0,0.0
353,Azerbaijan,2020-02-15,0.0,0.0,0.0
354,Azerbaijan,2020-02-16,0.0,0.0,0.0
355,Azerbaijan,2020-02-17,0.0,0.0,0.0
356,Azerbaijan,2020-02-18,0.0,0.0,0.0
357,Azerbaijan,2020-02-19,0.0,0.0,0.0
358,Azerbaijan,2020-02-20,0.0,0.0,0.0
359,Azerbaijan,2020-02-21,0.0,0.0,0.0
360,Azerbaijan,2020-02-22,0.0,0.0,0.0
361,Azerbaijan,2020-02-23,0.0,0.0,0.0
362,Azerbaijan,2020-02-24,0.0,0.0,0.0
363,Azerbaijan,2020-02-25,0.0,0.0,0.0
364,Azerbaijan,2020-02-26,0.0,0.0,0.0
365,Azerbaijan,2020-02-27,0.0,0.0,0.0
366,Azerbaijan,2020-02-28,0.0,0.0,0.0
367,Azerbaijan,2020-02-29,0.0,0.0,0.0
368,Azerbaijan,2020-03-01,3.0,0.0,0.0
369,Azerbaijan,2020-03-02,0.0,0.0,0.0
370,Azerbaijan,2020-03-03,0.0,0.0,0.0
371,Azerbaijan,2020-03-04,0.0,0.0,0.0
372,Azerbaijan,2020-03-05,3.0,0.0,0.0
373,Azerbaijan,2020-03-06,0.0,0.0,0.0
374,Azerbaijan,2020-03-07,3.0,0.0,0.0
375,Azerbaijan,2020-03-08,0.0,0.0,0.0
376,Bahrain,2020-01-22,,,
377,Bahrain,2020-01-23,0.0,0.0,0.0
378,Bahrain,2020-01-24,0.0,0.0,0.0
379,Bahrain,2020-01-25,0.0,0.0,0.0
380,Bahrain,2020-01-26,0.0,0.0,0.0
381,Bahrain,2020-01-27,0.0,0.0,0.0
382,Bahrain,2020-01-28,0.0,0.0,0.0
383,Bahrain,2020-01-29,0.0,0.0,0.0
384,Bahrain,2020-01-30,0.0,0.0,0.0
385,Bahrain,2020-01-31,0.0,0.0,0.0
386,Bahrain,2020-02-01,0.0,0.0,0.0
387,Bahrain,2020-02-02,0.0,0.0,0.0
388,Bahrain,2020-02-03,0.0,0.0,0.0
389,Bahrain,2020-02-04,0.0,0.0,0.0
390,Bahrain,2020-02-05,0.0,0.0,0.0
391,Bahrain,2020-02-06,0.0,0.0,0.0
392,Bahrain,2020-02-07,0.0,0.0,0.0
393,Bahrain,2020-02-08,0.0,0.0,0.0
394,Bahrain,2020-02-09,0.0,0.0,0.0
395,Bahrain,2020-02-10,0.0,0.0,0.0
396,Bahrain,2020-02-11,0.0,0.0,0.0
397,Bahrain,2020-02-12,0.0,0.0,0.0
398,Bahrain,2020-02-13,0.0,0.0,0.0
399,Bahrain,2020-02-14,0.0,0.0,0.0
400,Bahrain,2020-02-15,0.0,0.0,0.0
401,Bahrain,2020-02-16,0.0,0.0,0.0
402,Bahrain,2020-02-17,0.0,0.0,0.0
403,Bahrain,2020-02-18,0.0,0.0,0.0
404,Bahrain,2020-02-19,0.0,0.0,0.0
405,Bahrain,2020-02-20,0.0,0.0,0.0
406,Bahrain,2020-02-21,0.0,0.0,0.0
407,Bahrain,2020-02-22,0.0,0.0,0.0
408,Bahrain,2020-02-23,0.0,0.0,0.0
409,Bahrain,2020-02-24,1.0,0.0,0.0
410,Bahrain,2020-02-25,22.0,0.0,0.0
411,Bahrain,2020-02-26,10.0,0.0,0.0
412,Bahrain,2020-02-27,0.0,0.0,0.0
413,Bahrain,2020-02-28,3.0,0.0,0.0
414,Bahrain,2020-02-29,5.0,0.0,0.0
415,Bahrain,2020-03-01,6.0,0.0,0.0
416,Bahrain,2020-03-02,2.0,0.0,0.0
417,Bahrain,2020-03-03,0.0,0.0,0.0
418,Bahrain,2020-03-04,3.0,0.0,0.0
419,Bahrain,2020-03-05,3.0,0.0,0.0
420,Bahrain,2020-03-06,5.0,0.0,4.0
421,Bahrain,2020-03-07,25.0,0.0,0.0
422,Bahrain,2020-03-08,0.0,0.0,0.0
423,Bangladesh,2020-01-22,,,
