,Country/Region,Confirmed
174,US,1920061
23,Brazil,672846
139,Russia,458102
178,United Kingdom,286294
79,India,246622
158,Spain,241310
85,Italy,234801
133,Peru,191758
62,France,190759
66,Germany,185450
81,Iran,169425
173,Turkey,169218
35,Chile,127745
112,Mexico,113619
146,Saudi Arabia,98869
32,Canada,96475
129,Pakistan,93983
36,China,84186
137,Qatar,67195
13,Bangladesh,63026
16,Belgium,59072
15,Belarus,47751
121,Netherlands,47534
155,South Africa,45973
162,Sweden,43887
52,Ecuador,42728
177,United Arab Emirates,38268
151,Singapore,37527
37,Colombia,36759
136,Portugal,34351
53,Egypt,32612
92,Kuwait,31131
163,Switzerland,30956
80,Indonesia,30514
176,Ukraine,27101
135,Poland,25986
83,Ireland,25183
6,Argentina,22020
134,Philippines,21340
138,Romania,20290
0,Afghanistan,19551
51,Dominican Republic,19195
84,Israel,17752
87,Japan,17000
9,Austria,16898
128,Oman,16016
130,Panama,16004
12,Bahrain,14383
20,Bolivia,13358
89,Kazakhstan,12511
7,Armenia,12364
125,Nigeria,12233
47,Denmark,12124
156,South Korea,11776
148,Serbia,11741
82,Iraq,11098
2,Algeria,10050
46,Czechia,9567
113,Moldova,9511
67,Ghana,9462
127,Norway,8531
106,Malaysia,8303
117,Morocco,8151
31,Cameroon,7599
8,Australia,7259
10,Azerbaijan,7239
61,Finland,6964
70,Guatemala,6792
76,Honduras,6155
160,Sudan,6081
166,Tajikistan,4453
147,Senegal,4249
49,Djibouti,4169
71,Guinea,4117
180,Uzbekistan,4094
102,Luxembourg,4035
77,Hungary,3990
40,Congo (Kinshasa),3878
42,Cote d'Ivoire,3557
120,Nepal,3235
168,Thailand,3104
63,Gabon,3101
74,Haiti,3072
68,Greece,2980
54,El Salvador,2934
126,North Macedonia,2915
25,Bulgaria,2711
21,Bosnia and Herzegovina,2606
90,Kenya,2600
181,Venezuela,2316
154,Somalia,2289
43,Croatia,2247
44,Cuba,2173
93,Kyrgyzstan,1974
59,Ethiopia,1934
57,Estonia,1931
107,Maldives,1901
159,Sri Lanka,1814
78,Iceland,1806
101,Lithuania,1705
33,Central African Republic,1570
152,Slovakia,1528
108,Mali,1523
122,New Zealand,1504
153,Slovenia,1484
72,Guinea-Bissau,1368
96,Lebanon,1320
55,Equatorial Guinea,1306
41,Costa Rica,1263
1,Albania,1232
91,Kosovo,1142
123,Nicaragua,1118
132,Paraguay,1090
186,Zambia,1089
172,Tunisia,1087
95,Latvia,1086
104,Madagascar,1026
157,South Sudan,994
124,Niger,970
45,Cyprus,960
110,Mauritania,947
150,Sierra Leone,946
26,Burkina Faso,888
3,Andorra,852
179,Uruguay,845
34,Chad,836
65,Georgia,808
88,Jordan,795
48,Diamond Princess,712
39,Congo (Brazzaville),683
144,San Marino,680
109,Malta,627
86,Jamaica,596
175,Uganda,593
29,Cabo Verde,542
167,Tanzania,509
145,Sao Tome and Principe,499
170,Togo,487
185,Yemen,482
183,West Bank and Gaza,464
165,Taiwan*,443
140,Rwanda,431
105,Malawi,409
118,Mozambique,409
98,Liberia,345
111,Mauritius,337
182,Vietnam,329
116,Montenegro,324
58,Eswatini,322
187,Zimbabwe,279
18,Benin,261
99,Libya,256
27,Burma,240
115,Mongolia,193
73,Guyana,154
38,Comoros,141
24,Brunei,141
30,Cambodia,125
164,Syria,125
171,Trinidad and Tobago,117
11,Bahamas,103
161,Suriname,100
114,Monaco,99
14,Barbados,92
4,Angola,88
28,Burundi,83
100,Liechtenstein,82
19,Bhutan,48
22,Botswana,40
56,Eritrea,39
119,Namibia,29
5,Antigua and Barbuda,26
143,Saint Vincent and the Grenadines,26
64,Gambia,26
169,Timor-Leste,24
69,Grenada,23
17,Belize,19
94,Laos,19
142,Saint Lucia,19
50,Dominica,18
60,Fiji,18
141,Saint Kitts and Nevis,15
75,Holy See,12
149,Seychelles,11
103,MS Zaandam,9
184,Western Sahara,9
131,Papua New Guinea,8
97,Lesotho,4
